Model,Type,N_Predictions,Actual_Spikes,Predicted_Spikes,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Spike_MAE,Spike_RMSE,Spike_Bias,Spike_R2,Overall_MAE,Overall_RMSE,Overall_R2
Naive 7D Lag,Baseline,10950,1110,1110,0.8423423423423423,0.8423423423423423,0.8423423423423423,935,175,175,11.456627794907206,20.67130809562133,-2.9201153118359,0.5018901866154672,2.1456182888846813,7.677641598809214,0.7756628185810811
Persistence,Baseline,10940,1110,1110,0.8423423423423423,0.8423423423423423,0.8423423423423423,935,175,175,11.456627794907206,20.67130809562133,-2.9201153118359,0.5018901866154672,2.1475795487465503,7.681149774271617,0.775620535676341
Ensemble,ML Model,150,24,11,0.9090909090909091,0.4166666666666667,0.5714285714285715,10,1,14,31.878128766527023,43.02389784897099,-28.40760198280638,-1.91050955620879,7.963344950349053,17.833117409939618,0.10576813985042388
Xgboost,ML Model,150,20,12,0.5833333333333334,0.35,0.4375,7,5,13,24.147502191789222,34.71521374838722,-23.21892731182503,-0.4334631358785779,6.10914567742039,13.68595680888233,0.4350640376478683
Linear,ML Model,150,27,0,0.0,0.0,0.0,0,0,27,46.19562424692595,57.99743318367199,-46.19562424692595,-1.5767535276817024,11.133052787015783,25.03804963603573,-0.08257886859639108
