model,n_actual_spikes,n_predicted_spikes,spike_precision,spike_recall,spike_f1,true_positives,false_positives,false_negatives,spike_mae,spike_rmse,spike_bias,spike_r2,overall_mae,overall_rmse,overall_r2
xgboost,506,509,0.6444007858546169,0.6482213438735178,0.646305418719212,328,181,178,18.066707446775915,26.681812087927085,-13.419078858492357,0.05693943455799977,4.567688534574163,10.418096274616117,0.560373514312436
naive_lag,1091,1100,0.85,0.8570119156736938,0.8534915563669557,935,165,156,10.688884985347082,19.009640865233386,-2.0037072986292537,0.5754175282980192,2.362418844680541,7.650869050474548,0.8024523144868166
persistence,1091,1100,0.85,0.8570119156736938,0.8534915563669557,935,165,156,10.688884985347082,19.009640865233386,-2.0037072986292537,0.5754175282980192,2.362418844680541,7.650869050474548,0.8024523144868166
seasonal,1021,1354,0.2555391432791728,0.3388834476003918,0.2913684210526316,346,1008,675,34.57659954509166,45.167720954337106,-23.60995817662071,-1.303355218300101,11.462751228614025,22.88907546182312,-0.6721480959704447
